Patient_ID,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
G138701_RCCBMS-00020-T_v1_RNA_OnPrem,0.0463266874139978,0.086640549923482,0.0158416563268817,0.185357321350538,0.0,0.204350776585299,0.0226053245885038,0.0501864721428824,0.0095082662418061,0.0236723751177074,0.0069125623910302,0.0442589776812399,0.037178556318092,0.032523314320787,0.0793449397186141,0.245953010147234,0.0420273271013451,0.0213092925757792,0.0574576779733443,0.0,0.0097802579422369,0.0536864311469546,0,0.923779443467268,0.650794566242568,1.27492177700776
G138701_RCCBMS-00097-T_v1_RNA_OnPrem,0.0695742543407644,0.0663111711921945,0.0116403254532962,0.0940219575539897,0.0,0.192493102810884,0.0263674449203782,0.0930814326638446,0.0,0.0384362795232047,0.0852463995759298,0.0,0.0776813187695589,0.0027425394674942,0.0614390637507259,0.238283683245999,0.051978191919145,0.0426530790985674,0.0950571319809903,0.0130682158387494,0.0017854309967228,0.0329627874812805,0,0.940514794006625,0.657605129050575,1.29482381058372
G138701_RCCBMS-00141-T_v1_RNA_OnPrem,0.0690829402249373,0.0503110717414391,0.035438195021582,0.101135988699829,0.0,0.179167570630962,0.0350132337831105,0.0879140501187386,0.0,0.0049830610655681,0.0738870224504803,0.0226467188607992,0.11690116520405,0.0,0.0798262374368003,0.236170865323873,0.0233444616114706,0.0190535764295425,0.0944291972296301,0.0,0.0,0.0751885623239992,0,0.917443456185345,0.667743158846025,1.30449391815681
G138701_RCCBMS-00099-T_v1_RNA_OnPrem,0.0774807251609857,0.0477503798312335,0.0097109879570167,0.102434467795333,0.0,0.218811142080468,0.0148363864378392,0.0636739212611203,0.0,0.0142907218963677,0.0865856996253749,0.0,0.0837718480111248,0.0171057320705423,0.0476842710228475,0.230266642548568,0.0218079821768325,0.049866451951924,0.129722114615964,0.0,0.0096607891361415,0.0545933774542594,0,0.885099555764718,0.688182388221599,1.28005364103394
G138701_RCCBMS-00163-T_v1_RNA_OnPrem,0.014721905287367,0.0853583179573643,0.0091108964285544,0.0496155078985238,0.0,0.208555315422977,0.0579445339895601,0.0989244049541899,0.0,0.0,0.0949900634021728,0.0,0.0599347762932104,0.0,0.0675098168419017,0.234500292614061,0.0169847918059987,0.0055981053893871,0.0845033754483737,0.0,0.0196916437692974,0.0559202310229591,0,0.888382536065821,0.686416014997959,1.1638639785259
G138701_RCCBMS-00053-T_v1_RNA_OnPrem,0.160051085043764,0.012882839053332,0.0127078412816876,0.202379603974206,0.0,0.157942363617598,0.0917044896608106,0.100218504956743,0.0,0.0,0.0555886231015303,0.0125458572190081,0.0998453953046555,0.0022969610316975,0.0936527147275816,0.268421160754841,0.0193238671519766,0.0171431479838307,0.0421576945697267,0.0,0.001491108529682,0.0675858983479533,0,0.915875797285775,0.65708026185655,1.41793915631062
G138701_RCCBMS-00116-T_v1_RNA_OnPrem,0.026639904554986,0.0972755789048395,0.0039704756054515,0.0638603049356235,0.0,0.224706471127926,0.0252292005835864,0.0625915497291036,0.00688065479471,0.0319865075019766,0.0859725534628968,0.0,0.0838352147215074,0.022920076247065,0.0515261840554927,0.258094923480544,0.0419018725665945,0.054261931261393,0.0622239605789623,0.0163429817969331,0.0177665421660877,0.0391929408549463,0,0.919399416355096,0.670497243461347,1.27717982893063
G138701_RCCBMS-00136-T_v1_RNA_OnPrem,0.0751697883193537,0.0980206570508782,0.0307744916815572,0.104251733922755,0.0,0.189237300837872,0.0752229995999366,0.138064157410488,0.0,0.0330914667218188,0.0453025800858623,0.0049757055665393,0.0602612914588826,0.0036272833415217,0.0695269042263618,0.230878695073503,0.0300430717187307,0.0320289918176158,0.0650811545035233,0.0192077570664193,0.0,0.0597748704807467,0,0.805444366726341,0.727052244455682,1.36454090088437
G138701_RCCBMS-00057-T_v1_RNA_OnPrem,0.0391263032685112,0.129610551922585,0.00337595638926,0.124185419954193,0.0,0.204513100693916,0.017236295929331,0.0410556103607013,0.0060035671925233,0.0,0.0584298024900997,0.0010950378630612,0.0762788283202562,0.0130541399300926,0.0876305343066739,0.264631668714772,0.0541433692846352,0.0070397424878161,0.0468025194094484,0.0115249810567572,0.0100350769696795,0.0260509842740615,0,0.91057462233911,0.665983637779743,1.22182349081837
G109543_RCCBMS-00007-T_v1_RNA_OnPrem,0.0457063417451328,0.0848559089110149,0.0154617382178686,0.0264599277607107,0.0,0.231094634152087,0.037585552618586,0.0741689480218733,0.0013290606342194,0.0286122279833639,0.0886990491550952,0.0,0.0801054017746873,0.0,0.0744917973949712,0.264017701755721,0.0373266050101892,0.0240152581022421,0.0138238228285498,0.0708575972588681,0.0203067948390329,0.0167298635362946,0,0.921341801661066,0.669066950139125,1.23564823170051
G138701_RCCBMS-00008-T_v1_RNA_OnPrem,0.0447145710311718,0.0849665351090317,0.0244327002296458,0.158603756880813,0.0,0.137402304045589,0.0344555610162507,0.0971233341487739,0.0,0.0101792859236614,0.0458225451438093,0.024522040133296,0.104234704396286,0.0055047436795604,0.0916673100570679,0.271964407379812,0.0342735550778575,0.034044206666029,0.0846283972744921,0.0177633377345953,0.0,0.0415736956156731,0,0.953155385767992,0.64906449477153,1.34787699154342
G138701_RCCBMS-00065-T_v1_RNA_OnPrem,0.009696714670794,0.0944707623715509,0.0139949535714304,0.241193471545129,0.0,0.0797892183851683,0.0322685992956297,0.141170961909453,0.0,0.0216649691071597,0.0,0.0741786065629778,0.0881825856234181,0.0158057271074324,0.0797004846028748,0.244244558831298,0.0189082382858856,0.030824111115614,0.0798209794581288,0.0,0.0151747725251686,0.0332698611209958,0,0.923727613031435,0.652267118493026,1.31435957609011
G138701_RCCBMS-00110-T_v1_RNA_OnPrem,0.0304730786068416,0.0622284689944892,0.0083553875792429,0.0951445273657572,0.0,0.209221465854619,0.0310319205955696,0.0994124792806046,0.0,0.0,0.124366288627521,0.0,0.100812273630534,0.0048922494093972,0.0574359287829814,0.238102725970688,0.0420595744908926,0.0155568341416305,0.0626640570865749,0.0,0.0024610768426692,0.0184262610698358,0,0.901297104402169,0.670530021966108,1.20264459832985
G138701_RCCBMS-00111-T_v1_RNA_OnPrem,0.0374389340923928,0.0498517268708944,0.0242371667063985,0.157467000027859,0.0409918110574862,0.0935864947808037,0.0183375499075497,0.0730265578509366,0.0004586836943414,0.0,0.0686873387853088,0.0401919604394285,0.0779109695369667,0.0157438877026134,0.0533499982669818,0.263817154893043,0.0139018686505419,0.0296150563814845,0.111103079424703,0.0,0.0129568506703446,0.0095368727608632,0,0.883138150678724,0.685953969096363,1.19221096250094
G109543_RCCBMS-00147-T_v1_RNA_OnPrem,0.083004000973399,0.0812928483751859,0.0496244992606387,0.226137292399797,0.0,0.117522067908067,0.0602269132227319,0.113072980880542,0.014327967216887,0.0,0.0924607964903695,0.0011585833370923,0.0970327863519525,0.0172446517320625,0.0688530506584261,0.197661875435364,0.0494356501740802,0.0517407399441893,0.0241457515430694,0.0461206050993452,0.0,0.0156380833320533,0,0.938032221449104,0.647249663169783,1.40670114433525
G138701_RCCBMS-00044-T_v1_RNA_OnPrem,0.0476041883261161,0.102634526481633,0.0,0.0311964705508545,0.0,0.253095518710513,0.0482161754546569,0.111652607566993,0.0,0.0140589221527298,0.0997474514166178,0.0,0.0216861122527803,0.0112449290636709,0.034808855175039,0.2553640330785,0.0138389868300992,0.0648495643731327,0.0520212613481272,0.0515392203025887,0.0010911417257937,0.0212665478902097,0,0.893771614610028,0.677696911645695,1.23591651270006
G138701_RCCBMS-00084-T_v1_RNA_OnPrem,0.053628008044466,0.108585543357116,0.0048089910589846,0.172595377936521,0.0,0.155957009191167,0.0181810753345193,0.102187414050182,0.0172706640255499,0.0,0.0419737746264692,0.018964298563356,0.118568559818782,0.0219914905094857,0.085234616285321,0.23638884351451,0.0699398439642799,0.0168973955529676,0.051450199716949,0.0193731203675884,0.0115184438990437,0.0113140645583615,0,0.936296804754716,0.653544752857699,1.33682873437562
G138701_RCCBMS-00093-T_v1_RNA_OnPrem,0.0393255729950088,0.107636639030648,0.0218988239183179,0.245834460919765,0.0,0.0847933230495603,0.0089915468665789,0.145419213721072,0.0,0.0,0.0356253278051167,0.0231940549444757,0.11543013711693,0.0,0.0529718474115741,0.247463624926683,0.0864450256843435,0.0704643335207741,0.0694255193508069,0.0082692867046351,0.0,0.0131838050965981,0,0.925118092307116,0.661075216576346,1.37637254306289
G138701_RCCBMS-00154-T_v1_RNA_OnPrem,0.0377830760681753,0.0804444960060627,0.0564570234058519,0.179108783290131,0.0,0.173251521424221,0.0293697963447044,0.126530713120329,0.0,0.0136057601469168,0.0330190684029397,0.0206785810640785,0.0767904352085132,0.0,0.0642913453806438,0.250842030137947,0.0200155961893891,0.0702045025250111,0.0747485362538335,0.0078379351642853,0.0,0.0214075632303344,0,0.933490691936247,0.651668581378609,1.33638676336337
G138701_RCCBMS-00194-T_v1_RNA_OnPrem,0.0318117189705831,0.124800755071551,0.0410244961787818,0.147612242871869,0.0,0.118788020033761,0.0694372636097536,0.141057533832214,0.0,0.0359970550545136,0.0110449624307643,0.037758078455021,0.0915227055103424,0.0355790822440448,0.0850377466078292,0.278382506547571,0.036215046275105,0.0503430086215541,0.0204446428731295,0.0327470555656591,0.0139222374857404,0.0388899253209897,0,0.939504735289579,0.655103628577289,1.44241608356078
G138701_RCCBMS-00028-T_v1_RNA_OnPrem,0.0659249218189274,0.0535852425188544,0.0153961983408665,0.253245918382005,0.0,0.101141978292868,0.0690774915116293,0.152004529363355,0.0,0.0,0.0336515214040714,0.0243348759622495,0.117233410404033,0.0,0.0678718000492885,0.174109675680768,0.0078354791561673,0.0284686847206329,0.0153038859962357,0.0336465614307542,0.0,0.0148358395729883,0,0.891036378335643,0.659655033655087,1.22766801460569
G138701_RCCBMS-00047-T_v1_RNA_OnPrem,0.0060489979793203,0.103232885431015,0.016666162917709,0.208464678331428,0.0,0.125228487776195,0.0381356409844707,0.0987454995518929,0.0,0.0,0.0460010835403402,0.0118498716582509,0.0494779720434425,0.0,0.0703616635796155,0.2702207280782,0.0621455635083627,0.0232412355999144,0.0484436047444018,0.0,0.0097568449556042,0.0821494402239017,0,0.914662046032101,0.662748658381752,1.27017036090407
G138701_RCCBMS-00178-T_v1_RNA_OnPrem,0.0522508217068609,0.0842061461845808,0.0033694130602995,0.131304131627151,0.0,0.202108647831539,0.0208172224902163,0.101743317696372,0.0,0.0,0.093234754116577,0.0,0.0926321105783113,0.0138018358714017,0.0752331640172723,0.230100252676843,0.0181380072463618,0.0190183306173688,0.0473561252193006,0.0103534475580708,0.0191481624905363,0.0298015373664548,0,0.92064962224796,0.655693746427712,1.24461742835552
G138701_RCCBMS-00068-T_v1_RNA_OnPrem,0.0136479473060943,0.0843263584026107,0.0278860067089713,0.0856910588151707,0.0,0.204153979928387,0.0280112871627856,0.0994626082641398,0.0,0.0134802759664962,0.0752721831975078,0.0176566887617352,0.0708520646563859,0.0256818431461111,0.0662341424295306,0.267891416121928,0.0222741412420429,0.040002452933596,0.0036623089820029,0.0724064359395304,0.014191170967704,0.0474866681027344,0,0.902848245140438,0.674530425014471,1.28027103903546
G138701_RCCBMS-00072-T_v1_RNA_OnPrem,0.0828580280694177,0.0639523393194642,0.0338216426167701,0.338111715279338,0.0,0.0445797112224057,0.127608825274026,0.149729470269911,0.0,0.0052306560274658,0.0,0.0553414441467882,0.011432377570153,0.0,0.100395764466749,0.278785079299127,0.0203599004400532,0.036162225496629,0.0071172896711387,0.0017699563355686,0.0147395103371307,0.0733168148229972,0,0.89650470512242,0.655302681561099,1.44531275066513
G138701_RCCBMS-00035-T_v1_RNA_OnPrem,0.128060591408281,0.0,0.0475871526663491,0.103514788400425,0.0,0.245187240094118,0.0,0.104068921557557,0.0038827692946474,0.0070012891811331,0.0501042086186111,0.0,0.0931674317974164,0.0273774652346602,0.0288300693010367,0.207605152471617,0.0678049140667927,0.084238883303494,0.0372107538422226,0.0356094942216217,0.001546503244416,0.0499391574404412,0,0.903563703342782,0.67282746606565,1.32273678614484
G109543_RCCBMS-00114-T_v1_RNA_OnPrem,0.0253049364210802,0.0976220841063565,0.0098016013582868,0.162856315224353,0.0,0.161938903157052,0.0388884706861796,0.0664753980087422,0.0,0.0183488524626908,0.0311000304389047,0.0195307912211162,0.0635448225774519,0.0035888261952859,0.0699074152745887,0.271185889826744,0.0335813966492201,0.022460475840969,0.0937500111249818,0.0,0.0268984433976165,0.0348004000493286,0,0.928857987941019,0.663161373856861,1.25158506402095
G138701_RCCBMS-00125-T_v1_RNA_OnPrem,0.0483207314406216,0.0659051610611151,0.0242716439721669,0.0635050878522336,0.0,0.228813768267204,0.0413978822900184,0.0529354681592694,0.0131659297581313,0.0,0.0677506854272083,0.008300811403049,0.0804574067520614,0.0272893103034911,0.0294570020772337,0.219600316045923,0.0101081222978008,0.0965586302419715,0.0281253751733908,0.0687564920435476,0.020868621394786,0.0122386623242091,0,0.884404781045159,0.692187428234503,1.20782710828543
G138701_RCCBMS-00165-T_v1_RNA_OnPrem,0.0140526157675019,0.108497046414605,0.0299851225375849,0.225236109444549,0.0,0.0805010470114509,0.056590758488184,0.0667188002835722,0.001743329412057,0.0,0.0600944185944074,0.0,0.0820305575516669,0.0167001893569331,0.0871440850381176,0.286493353833157,0.0238319245114059,0.017030143818457,0.0572111989805328,0.0096714168600231,0.0206633644589222,0.0185377889341199,0,0.917355000621395,0.666787643928649,1.26273327129725
G138701_RCCBMS-00092-T_v1_RNA_OnPrem,0.151624209181384,0.0242537379034423,0.012720039058305,0.210491981539806,0.0,0.144502974664511,0.0387240878505434,0.13712248508522,0.0,0.0,0.0324838389350813,0.0304538472279727,0.107643013915492,0.0163082035322602,0.0680972296309648,0.208270231778706,0.0304764227311279,0.0671607075449015,0.0407949035470517,0.029099560868001,0.0164890267404756,0.0270747861763211,0,0.9295706746891,0.650747667255764,1.39379128791157
G138701_RCCBMS-00036-T_v1_RNA_OnPrem,0.0649075996076832,0.0795720839773058,0.0192220776528825,0.251414757924779,0.0,0.11903318366328,0.0802628484349665,0.115468438825278,0.0,0.0246767097278259,0.0,0.0335024627598076,0.0701545316950105,0.0102586300524363,0.0771309177573194,0.249259189436855,0.0554810592649211,0.0495464662659229,0.0816042224657403,0.0,0.0036606726866915,0.0419025858216568,0,0.93627486337393,0.654128254991039,1.42705843802036
G138701_RCCBMS-00011-T_v1_RNA_OnPrem,0.0198538181582752,0.0891683401144259,0.0108827943343379,0.0,0.0,0.336896480093469,0.0,0.0679493120333205,0.007966902955163,0.0119146841825463,0.0307198772283539,0.0293918897950736,0.0619063898059459,0.0,0.0566005312736481,0.231546332516633,0.0219619711707534,0.0418616589510514,0.065959991032728,0.023463064926722,0.0059157927157519,0.0299835301551665,0,0.837101311269781,0.706789473338246,1.14394336144336
G109543_RCCBMS-00145-T_v1_RNA_OnPrem,0.0914410773582368,0.0646934408615597,0.0148241660122196,0.191384438568277,0.0,0.156050304692422,0.0310155921952575,0.108155032639626,0.0,0.0,0.10581534131187,0.0,0.120164815648004,0.0070113908909496,0.0646935580284996,0.234772205640042,0.0248736426860528,0.0723265592549473,0.0672534232178097,0.0,0.0,0.025088176221214,0,0.927134217646158,0.654499516588592,1.37956316522699
G109543_RCCBMS-00196-T_v1_RNA_OnPrem,0.0373180861743779,0.094525437513966,0.0178880718389067,0.161390521388527,0.0,0.155667971911239,0.0228460626627259,0.109046274440112,0.0104365541807111,0.0005809828545443,0.014547590914326,0.0617052965748818,0.069335000602977,0.003305264908312,0.0702382833702274,0.256659044359514,0.0199308453230588,0.0186900143017857,0.0306077950127675,0.0476505874877036,0.0248417427385026,0.0395215770633606,0,0.934441161248607,0.650005320340579,1.26673300562253
