Patient_ID,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
G138701_RCCBMS-00020-T_v1_RNA_OnPrem,0.0463266874139978,0.086640549923482,0.0158416563268817,0.185357321350538,0.0,0.204350776585299,0.0226053245885038,0.0501864721428824,0.0095082662418061,0.0236723751177074,0.0069125623910302,0.0442589776812399,0.037178556318092,0.032523314320787,0.0793449397186141,0.245953010147234,0.0420273271013451,0.0213092925757792,0.0574576779733443,0.0,0.0097802579422369,0.0536864311469546,0,0.923779443467268,0.650794566242568,1.27492177700776
G138701_RCCBMS-00141-T_v1_RNA_OnPrem,0.0690829402249373,0.0503110717414391,0.035438195021582,0.101135988699829,0.0,0.179167570630962,0.0350132337831105,0.0879140501187386,0.0,0.0049830610655681,0.0738870224504803,0.0226467188607992,0.11690116520405,0.0,0.0798262374368003,0.236170865323873,0.0233444616114706,0.0190535764295425,0.0944291972296301,0.0,0.0,0.0751885623239992,0,0.917443456185345,0.667743158846025,1.30449391815681
G138701_RCCBMS-00053-T_v1_RNA_OnPrem,0.160051085043764,0.012882839053332,0.0127078412816876,0.202379603974206,0.0,0.157942363617598,0.0917044896608106,0.100218504956743,0.0,0.0,0.0555886231015303,0.0125458572190081,0.0998453953046555,0.0022969610316975,0.0936527147275816,0.268421160754841,0.0193238671519766,0.0171431479838307,0.0421576945697267,0.0,0.001491108529682,0.0675858983479533,0,0.915875797285775,0.65708026185655,1.41793915631062
G138701_RCCBMS-00116-T_v1_RNA_OnPrem,0.026639904554986,0.0972755789048395,0.0039704756054515,0.0638603049356235,0.0,0.224706471127926,0.0252292005835864,0.0625915497291036,0.00688065479471,0.0319865075019766,0.0859725534628968,0.0,0.0838352147215074,0.022920076247065,0.0515261840554927,0.258094923480544,0.0419018725665945,0.054261931261393,0.0622239605789623,0.0163429817969331,0.0177665421660877,0.0391929408549463,0,0.919399416355096,0.670497243461347,1.27717982893063
G138701_RCCBMS-00136-T_v1_RNA_OnPrem,0.0751697883193537,0.0980206570508782,0.0307744916815572,0.104251733922755,0.0,0.189237300837872,0.0752229995999366,0.138064157410488,0.0,0.0330914667218188,0.0453025800858623,0.0049757055665393,0.0602612914588826,0.0036272833415217,0.0695269042263618,0.230878695073503,0.0300430717187307,0.0320289918176158,0.0650811545035233,0.0192077570664193,0.0,0.0597748704807467,0,0.805444366726341,0.727052244455682,1.36454090088437
G138701_RCCBMS-00057-T_v1_RNA_OnPrem,0.0391263032685112,0.129610551922585,0.00337595638926,0.124185419954193,0.0,0.204513100693916,0.017236295929331,0.0410556103607013,0.0060035671925233,0.0,0.0584298024900997,0.0010950378630612,0.0762788283202562,0.0130541399300926,0.0876305343066739,0.264631668714772,0.0541433692846352,0.0070397424878161,0.0468025194094484,0.0115249810567572,0.0100350769696795,0.0260509842740615,0,0.91057462233911,0.665983637779743,1.22182349081837
G138701_RCCBMS-00008-T_v1_RNA_OnPrem,0.0447145710311718,0.0849665351090317,0.0244327002296458,0.158603756880813,0.0,0.137402304045589,0.0344555610162507,0.0971233341487739,0.0,0.0101792859236614,0.0458225451438093,0.024522040133296,0.104234704396286,0.0055047436795604,0.0916673100570679,0.271964407379812,0.0342735550778575,0.034044206666029,0.0846283972744921,0.0177633377345953,0.0,0.0415736956156731,0,0.953155385767992,0.64906449477153,1.34787699154342
G138701_RCCBMS-00065-T_v1_RNA_OnPrem,0.009696714670794,0.0944707623715509,0.0139949535714304,0.241193471545129,0.0,0.0797892183851683,0.0322685992956297,0.141170961909453,0.0,0.0216649691071597,0.0,0.0741786065629778,0.0881825856234181,0.0158057271074324,0.0797004846028748,0.244244558831298,0.0189082382858856,0.030824111115614,0.0798209794581288,0.0,0.0151747725251686,0.0332698611209958,0,0.923727613031435,0.652267118493026,1.31435957609011
G138701_RCCBMS-00110-T_v1_RNA_OnPrem,0.0304730786068416,0.0622284689944892,0.0083553875792429,0.0951445273657572,0.0,0.209221465854619,0.0310319205955696,0.0994124792806046,0.0,0.0,0.124366288627521,0.0,0.100812273630534,0.0048922494093972,0.0574359287829814,0.238102725970688,0.0420595744908926,0.0155568341416305,0.0626640570865749,0.0,0.0024610768426692,0.0184262610698358,0,0.901297104402169,0.670530021966108,1.20264459832985
G138701_RCCBMS-00111-T_v1_RNA_OnPrem,0.0374389340923928,0.0498517268708944,0.0242371667063985,0.157467000027859,0.0409918110574862,0.0935864947808037,0.0183375499075497,0.0730265578509366,0.0004586836943414,0.0,0.0686873387853088,0.0401919604394285,0.0779109695369667,0.0157438877026134,0.0533499982669818,0.263817154893043,0.0139018686505419,0.0296150563814845,0.111103079424703,0.0,0.0129568506703446,0.0095368727608632,0,0.883138150678724,0.685953969096363,1.19221096250094
