Patient_ID,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
G138701_RCCBMS-00020-T_v1_RNA_OnPrem,0.6452075110987445,0.6131434030231361,0.64074080771491,0.5444710948578104,0.4778239238559206,0.3568935150940329,0.6538178867913439,0.3938652254326348,0.5898236750097043,0.3985724755074994,0.6096239635426788,0.6395181467320056,0.6092118585145097,0.6151111632156455,0.4556940830011959,0.4094023712841954,0.5670124705753605,0.6203175236497863,0.5588909185607712,0.4775697833788038,0.5422691002279295,0.5917753302168546,0.565695583327961,0.6300549238247963,0.4837404117668282,0.781089001786675,0.7602154382281004,0.0226926639305843,0.4816282588678609,0.6954145045815593,0.7027120588783385,0.8100698557420687,0.5405041461646831,0.3803099927211684,0.5255621469682119,0.7719571174381927,0.5624345312287305,-0.0597440274299607,0.5488654548085823,0.6564281274155042,0.7924642475659958,0.7293326270651768,0.1280801268231888,0.6702994253298539,0.5716359922840806,0.7179342434541472,0.6629684141999236,0.5124907161282356,0.4320099538646439,0.4777359043415115
G138701_RCCBMS-00141-T_v1_RNA_OnPrem,0.7453343170971345,0.4817159960574991,0.692472248992436,0.6561928930666485,0.5830432804192142,0.523269786014751,0.6716670065627173,0.5185026563769247,0.6723816227858563,0.5430971072287406,0.6053298374292255,0.662206141911547,0.5312949463090997,0.7036780564858827,0.5700098471261429,0.5246410921085229,0.7030053487594314,0.5379804639030239,0.626616527890761,0.5481856691401511,0.5853426578535992,0.6746809731760973,0.5608277175786557,0.5614057395308042,0.45141847326097,0.675020124070772,0.652690943117927,0.1237573636569568,0.5282773634098257,0.6603895422996637,0.7201827244989711,0.8225075073799578,0.5798463407742143,0.4860028588021751,0.5899671072564475,0.8422951490629937,0.6072206344892105,0.0718083708427693,0.6312564239083853,0.6265555512989783,0.8218102170010277,0.7731346482203889,0.1397326959826929,0.7452147808850373,0.6049993864693259,0.7348740986662348,0.7136199420299925,0.5744493181752766,0.5149513434346759,0.6293327620260818
G138701_RCCBMS-00053-T_v1_RNA_OnPrem,0.6938887412844342,0.4335128230095585,0.6575048341016665,0.4493492680798688,0.5068461048282294,0.3361108454785778,0.6272000125011487,0.4627144526683054,0.6947580750955763,0.4569041025792906,0.5595043063518348,0.7140662200369174,0.6549903880016693,0.4913158801635166,0.5173302178844581,0.5127413947876782,0.643167380905324,0.6450100021990571,0.6041404587579022,0.4708524729863739,0.5784369527412093,0.5595340609419079,0.5156767139193568,0.4996340458623206,0.3805216780676287,0.7462838097653046,0.6758261484844582,0.0322652742740014,0.4535871964890778,0.6834580234819032,0.7770405417938521,0.8681452745732365,0.6657656619105091,0.3826688558492921,0.5251884324956485,0.8645441102916992,0.5758528894167042,0.1739399865437714,0.6146579549003268,0.6605290034378167,0.8210168575843213,0.765572865822445,0.1893562167019699,0.6666271995833534,0.5030434770322082,0.777413681276615,0.5916432606423829,0.585362074737948,0.4196686831463805,0.5413799822424569
G138701_RCCBMS-00116-T_v1_RNA_OnPrem,0.7021482880300226,0.4889632808381532,0.7137169240328494,0.6067189458498492,0.5566974697163982,0.4476444236043529,0.6834812381376255,0.3823264288444039,0.6552705125351462,0.4308345675195705,0.573145338707645,0.6249395632979275,0.5742158253293449,0.7438562693350163,0.5333069668475432,0.4864868254358762,0.5916777845675034,0.6007491973555278,0.5516890689455416,0.547858194543477,0.5486398414426048,0.6386632802202016,0.5652081349134024,0.5543183732525898,0.4630978325557033,0.5966143275159956,0.6235397971380446,0.0741953250574668,0.5421652264381491,0.6921215245110532,0.7133100367927032,0.8170113033217004,0.5662662174075105,0.5074770497240588,0.5915647571041438,0.7615621420779328,0.5979214562685145,-0.0106866519635275,0.5319635683003361,0.6350075520556338,0.7904631946519445,0.7166885920503444,0.1760244208380833,0.7673490122512324,0.6628024212513701,0.7406320215542079,0.7829960694196377,0.5490029203407885,0.5254548150496826,0.48216418085456
G138701_RCCBMS-00136-T_v1_RNA_OnPrem,0.688674608120068,0.4710001779104437,0.6814861989781159,0.594784249104455,0.5382440941359283,0.3896549011095528,0.6307722544251467,0.4556701535115443,0.6369288511097023,0.4925554188342021,0.5605007509507607,0.6497317798814197,0.5783207452009286,0.6774413409595658,0.5398732503431277,0.4853409738659732,0.6209449311657009,0.5814093184177765,0.6260095317480584,0.508930033189667,0.5552425133402478,0.649794098888828,0.524594999076495,0.5314063121905361,0.4225792226858819,0.6464547519418108,0.6195806784177676,0.0818170167551281,0.4935278878462907,0.6869366991299556,0.7277614740464792,0.8110623767945336,0.5797402190308354,0.5334844794923006,0.602184120126429,0.7821941237643644,0.5820886475270178,0.078676233396511,0.6147115883104566,0.6276388175674037,0.8031916078616773,0.7379532323213269,0.1678200148980937,0.7053673194044627,0.5221303532020072,0.7602099809360894,0.6973349673659496,0.5441867720133559,0.5027512415778654,0.5506904415267314
G138701_RCCBMS-00057-T_v1_RNA_OnPrem,0.7215299014188453,0.4189677730113124,0.6667220622463427,0.527040736056535,0.508541486995568,0.3202794414973289,0.6126274050504997,0.4347736405004351,0.6510447856678068,0.4142660330501141,0.5270150880786258,0.6536298139666266,0.5426466498781306,0.6253174944011997,0.4717687586459062,0.4302059433433763,0.6783441813280794,0.5337980495526548,0.5942399959226233,0.5207041834520993,0.5540565025412834,0.6495488130648714,0.5122442555414208,0.4586564421682645,0.3633238022519325,0.6417557482392406,0.6113959337927014,0.0154463649677482,0.4524422951515624,0.6396319892890275,0.7101551163281465,0.8276151844701637,0.5517678973589693,0.6570287262021732,0.5547208207069354,0.8616632013956876,0.5568807697118914,0.0620352061532991,0.6006389188558972,0.6166934289436663,0.8058848098117172,0.7155260375350224,0.103007265774668,0.6928137195202033,0.4859458338851368,0.7019213275783274,0.6918832516359847,0.5395367283534799,0.4283349843633398,0.5117879816855363
G138701_RCCBMS-00008-T_v1_RNA_OnPrem,0.689828131849261,0.3836894305718246,0.6782068995859586,0.4754345871708167,0.4499188707278807,0.368281501064174,0.586342118438718,0.4019128442692428,0.6407495901734674,0.3610286083178062,0.4749111942299857,0.6007885577826119,0.5093171631471501,0.6147345419401435,0.4418825649033597,0.3943622600707321,0.5779024136707951,0.528881913306586,0.5329556087729963,0.4738825636982702,0.5255393068046261,0.5911967276407307,0.4911108635503747,0.4568243946933679,0.3484765828467639,0.5924626258844549,0.5802821045447127,-0.0628902404160892,0.4342134879383617,0.636188954897151,0.6874777835446977,0.7984269520698417,0.5263487046752453,0.3453915700279616,0.4684512607353564,0.7744073808385572,0.541172420392952,-0.0001168475523003,0.5339512100214666,0.5884648644725843,0.8070163254508845,0.6690694215162464,0.0579898680373921,0.6653650198678405,0.5087230032989737,0.6953755999705973,0.700151525196323,0.4531319912052922,0.3836065947029136,0.4597025898688704
G138701_RCCBMS-00065-T_v1_RNA_OnPrem,0.6753324855355407,0.4434112836386807,0.6771801771951707,0.6415108392360681,0.5400526950514202,0.4061846124459419,0.6465781620151209,0.426651047504488,0.620409821402371,0.512582115489326,0.5694004711623873,0.7039998673503792,0.709782827426422,0.7160957913247241,0.4793890870215789,0.426457814317715,0.5956489938863587,0.6787431752358954,0.6421325246317616,0.561827635468457,0.5238830129120823,0.6514017232484287,0.5254329944938613,0.4870690002346687,0.4046698397273768,0.6414114759701085,0.6160440062699418,0.0383992414735618,0.447666552991936,0.7201137330670101,0.7417283617035139,0.8829696215630867,0.6569428625531458,0.408125525462837,0.5614987329337296,0.8068900475106195,0.5665399820994693,0.078279820592006,0.5838868378777927,0.6291708400373024,0.7965038580559929,0.711392921328475,0.1252308400295465,0.6764842235024223,0.533754678444799,0.7529251196812866,0.6961782822304415,0.5454236319864281,0.4235860614375117,0.5102573874077974
G138701_RCCBMS-00110-T_v1_RNA_OnPrem,0.7176496559135823,0.402482624492061,0.699101442938827,0.5634452638711152,0.5398281099689938,0.4615567986094629,0.6220864019870306,0.443855076933235,0.6679996242444829,0.4373189031796236,0.5436526894769413,0.6481115995476115,0.5463759329869985,0.6516883119927976,0.5174596876142692,0.462417835161006,0.6565973640885429,0.5430639644664867,0.5988286662980521,0.5628127380903658,0.5627938712600512,0.6386339636759145,0.5219007260637082,0.4504233095948389,0.3658466369449706,0.6395871310973057,0.6019087796098298,0.0743050017962535,0.4686587747095659,0.6692322795134438,0.7062555040390963,0.8200409884410222,0.566313079676551,0.4528807342002934,0.5558195010959914,0.832516456371304,0.5852770698288488,0.0778446820067292,0.6139746807666969,0.6293482514907089,0.8156718712980903,0.7218502324989482,0.1376798073610471,0.7436880777698062,0.5247805664960875,0.7150568405767084,0.7144158643355376,0.5291595752363799,0.4961904452059248,0.5298165646371757
G138701_RCCBMS-00111-T_v1_RNA_OnPrem,0.6437595716020746,0.509949243307663,0.728704272036349,0.659397424456743,0.5648053715355756,0.4385426638783222,0.683361061852177,0.3654759117873282,0.622164201396367,0.4557905754066212,0.5890279775129844,0.6312427290387747,0.5802932787815012,0.774734734362834,0.5386122666568317,0.4922158186040266,0.55248550626012,0.5975896520558408,0.5588344879695306,0.4923771972212657,0.5643958795409184,0.6160615281227888,0.5809047396056504,0.5862168513557291,0.477711193991758,0.6328155827720636,0.6507508878582335,0.103457237173477,0.5369236344234177,0.7096774178369665,0.7027614598933504,0.8123349757628245,0.6158526768521884,0.4556155652922281,0.5889453314312922,0.7401941269632207,0.6122543484358961,-0.0348449011828749,0.5513231773474863,0.63100125985317,0.7849464413716205,0.7205902371855529,0.1760360246897251,0.7666935266498729,0.6711706374901562,0.7341404343947147,0.7657033912466552,0.5681238875718606,0.5478733178537263,0.4921229130437589
